caldt,sp500,sp500_ret
1894-09-01,4.48,0.01587301587301604
1894-10-01,4.34,-0.03125000000000011
1894-11-01,4.34,0.0
1894-12-01,4.3,-0.009216589861751112
1895-01-01,4.25,-0.011627906976744096
1895-02-01,4.19,-0.014117647058823457
1895-03-01,4.19,0.0
1895-04-01,4.37,0.042959427207637235
1895-05-01,4.61,0.05491990846681927
1895-06-01,4.7,0.019522776572667988
1895-07-01,4.72,0.004255319148936065
1895-08-01,4.79,0.014830508474576343
1895-09-01,4.82,0.006263048016701411
1895-10-01,4.75,-0.014522821576763545
1895-11-01,4.59,-0.03368421052631587
1895-12-01,4.32,-0.05882352941176461
1896-01-01,4.27,-0.011574074074074292
1896-02-01,4.45,0.042154566744730726
1896-03-01,4.38,-0.01573033707865179
1896-04-01,4.42,0.009132420091324311
1896-05-01,4.4,-0.004524886877827927
1896-06-01,4.32,-0.018181818181818188
1896-07-01,4.04,-0.06481481481481488
1896-08-01,3.81,-0.05693069306930698
1896-09-01,4.01,0.052493438320209806
1896-10-01,4.1,0.02244389027431426
1896-11-01,4.38,0.06829268292682933
1896-12-01,4.22,-0.0365296803652968
1897-01-01,4.22,0.0
1897-02-01,4.18,-0.009478672985781977
1897-03-01,4.19,0.0023923444976077235
1897-04-01,4.06,-0.031026252983293756
1897-05-01,4.08,0.0049261083743843415
1897-06-01,4.27,0.04656862745098023
1897-07-01,4.46,0.04449648711943799
1897-08-01,4.75,0.06502242152466375
1897-09-01,4.98,0.04842105263157914
1897-10-01,4.82,-0.032128514056224966
1897-11-01,4.65,-0.03526970954356845
1897-12-01,4.75,0.021505376344086002
1898-01-01,4.88,0.027368421052631486
1898-02-01,4.87,-0.002049180327868827
1898-03-01,4.65,-0.045174537987679675
1898-04-01,4.57,-0.017204301075268824
1898-05-01,4.87,0.06564551422319465
1898-06-01,5.06,0.03901437371663241
1898-07-01,5.08,0.0039525691699606735
1898-08-01,5.27,0.03740157480314954
1898-09-01,5.26,-0.001897533206831059
1898-10-01,5.15,-0.02091254752851701
1898-11-01,5.32,0.03300970873786402
1898-12-01,5.65,0.06203007518796988
1899-01-01,6.08,0.07610619469026547
1899-02-01,6.31,0.03782894736842102
1899-03-01,6.4,0.014263074484944571
1899-04-01,6.48,0.012499999999999956
1899-05-01,6.21,-0.04166666666666674
1899-06-01,6.07,-0.02254428341384862
1899-07-01,6.28,0.034596375617792496
1899-08-01,6.44,0.02547770700636942
1899-09-01,6.37,-0.010869565217391353
1899-10-01,6.34,-0.004709576138147598
1899-11-01,6.46,0.018927444794952786
1899-12-01,6.02,-0.06811145510835914
1900-01-01,6.1,0.013289036544850585
1900-02-01,6.21,0.0180327868852459
1900-03-01,6.26,0.008051529790660261
1900-04-01,6.34,0.012779552715654896
1900-05-01,6.04,-0.04731861198738163
1900-06-01,5.86,-0.02980132450331119
1900-07-01,5.86,0.0
1900-08-01,5.94,0.013651877133105783
1900-09-01,5.8,-0.023569023569023684
1900-10-01,6.01,0.036206896551724155
1900-11-01,6.48,0.07820299500831962
1900-12-01,6.87,0.06018518518518512
1901-01-01,7.07,0.02911208151382816
1901-02-01,7.25,0.02545968882602545
1901-03-01,7.51,0.035862068965517135
1901-04-01,8.14,0.08388814913448739
1901-05-01,7.73,-0.05036855036855037
1901-06-01,8.5,0.09961190168175937
1901-07-01,7.93,-0.06705882352941184
1901-08-01,8.04,0.013871374527112179
1901-09-01,8.0,-0.004975124378109319
1901-10-01,7.91,-0.011249999999999982
1901-11-01,8.08,0.02149178255372952
1901-12-01,7.95,-0.016089108910891103
1902-01-01,8.12,0.02138364779874191
1902-02-01,8.19,0.008620689655172376
1902-03-01,8.2,0.0012210012210012167
1902-04-01,8.48,0.034146341463414887
1902-05-01,8.46,-0.002358490566037652
1902-06-01,8.41,-0.005910165484633634
1902-07-01,8.6,0.022592152199762072
1902-08-01,8.83,0.02674418604651163
1902-09-01,8.85,0.0022650056625141968
1902-10-01,8.57,-0.031638418079095953
1902-11-01,8.24,-0.03850641773628938
1902-12-01,8.05,-0.0230582524271844
1903-01-01,8.46,0.05093167701863366
1903-02-01,8.41,-0.005910165484633634
1903-03-01,8.08,-0.03923900118906065
1903-04-01,7.75,-0.04084158415841588
1903-05-01,7.6,-0.01935483870967747
1903-06-01,7.18,-0.05526315789473679
1903-07-01,6.85,-0.04596100278551529
1903-08-01,6.63,-0.03211678832116782
1903-09-01,6.47,-0.02413273001508298
1903-10-01,6.26,-0.03245749613601234
1903-11-01,6.28,0.0031948881789138905
1903-12-01,6.57,0.04617834394904463
1904-01-01,6.68,0.016742770167427645
1904-02-01,6.5,-0.026946107784431073
1904-03-01,6.48,-0.003076923076922977
1904-04-01,6.64,0.024691358024691246
1904-05-01,6.5,-0.02108433734939752
1904-06-01,6.51,0.0015384615384614886
1904-07-01,6.78,0.04147465437788034
1904-08-01,7.01,0.03392330383480813
1904-09-01,7.32,0.04422253922967201
1904-10-01,7.75,0.058743169398907114
1904-11-01,8.17,0.05419354838709678
1904-12-01,8.25,0.009791921664626724
1905-01-01,8.43,0.021818181818181737
1905-02-01,8.8,0.043890865954923086
1905-03-01,9.05,0.02840909090909083
1905-04-01,8.94,-0.012154696132596787
1905-05-01,8.5,-0.04921700223713643
1905-06-01,8.6,0.0117647058823529
1905-07-01,8.87,0.03139534883720918
1905-08-01,9.2,0.03720405862457721
1905-09-01,9.23,0.003260869565217428
1905-10-01,9.36,0.014084507042253502
1905-11-01,9.31,-0.005341880341880212
1905-12-01,9.54,0.02470461868958096
1906-01-01,9.87,0.03459119496855356
1906-02-01,9.8,-0.007092198581560183
1906-03-01,9.56,-0.02448979591836742
1906-04-01,9.43,-0.013598326359832713
1906-05-01,9.18,-0.026511134676564185
1906-06-01,9.3,0.013071895424836777
1906-07-01,9.06,-0.02580645161290329
1906-08-01,9.73,0.07395143487858724
1906-09-01,10.03,0.03083247687564228
1906-10-01,9.73,-0.029910269192422678
1906-11-01,9.93,0.020554984583761593
1906-12-01,9.84,-0.009063444108761365
1907-01-01,9.56,-0.028455284552845517
1907-02-01,9.26,-0.03138075313807542
1907-03-01,8.35,-0.09827213822894165
1907-04-01,8.39,0.004790419161676773
1907-05-01,8.1,-0.03456495828367112
1907-06-01,7.84,-0.032098765432098775
1907-07-01,8.14,0.03826530612244916
1907-08-01,7.53,-0.07493857493857492
1907-09-01,7.45,-0.010624169986719778
1907-10-01,6.64,-0.10872483221476514
1907-11-01,6.25,-0.0587349397590361
1907-12-01,6.57,0.051200000000000134
1908-01-01,6.85,0.0426179604261796
1908-02-01,6.6,-0.03649635036496346
1908-03-01,6.87,0.040909090909091006
1908-04-01,7.24,0.05385735080058218
1908-05-01,7.63,0.05386740331491713
1908-06-01,7.64,0.001310615989515096
1908-07-01,7.92,0.03664921465968596
1908-08-01,8.26,0.04292929292929282
1908-09-01,8.17,-0.010895883777239712
1908-10-01,8.27,0.012239902080783294
1908-11-01,8.83,0.06771463119709797
